1       -1.49983    
2       -1.59051    
17      -1.59051    
140     -1.6297     
161     -1.66868    
162     -1.66868    
259     -1.66918    
281     -1.66918    
283     -1.66918    
284     -1.66918    
285     -1.66918    
288     -1.66918    
797     -1.66977    
805     -1.66977    
806     -1.66977    
810     -1.66977    
833     -1.66977    
843     -1.6705     
879     -1.6705     
881     -1.6705     
882     -1.6705     
883     -1.6705     
884     -1.6705     
892     -1.6705     
893     -1.6705     
895     -1.6705     
897     -1.6705     
901     -1.6705     
905     -1.6705     
951     -1.6705     
977     -1.70873    
1275    -1.70873    
1502    -1.70873    
1510    -1.70873    
1511    -1.70873    
1512    -1.70873    
1513    -1.70873    
1514    -1.70873    
1515    -1.70873    
1525    -1.70873    
1527    -1.70873    
1580    -1.70873    
1582    -1.70873    
1619    -1.70873    
1621    -1.70873    
1623    -1.70873    
2085    -1.70945    
2100    -1.70945    
2123    -1.70945    
2125    -1.70945    
2127    -1.70945    
2133    -1.70945    
